_id,category,productId
sGfHg7Mf8LTcS3ZKy,vJBAnpNdjopTSP2TH,sGfHg7Mf8LTcS3ZKy
XYPFmJWD9rixBnWd3,c2jQt99DA23rBKJN5,XYPFmJWD9rixBnWd3
TKz5C2bBcqXjJ5cjn,PdN6r5ekhvSgxpNfS,TKz5C2bBcqXjJ5cjn
TKz5C2bBcqXjJ5cjn,c2jQt99DA23rBKJN5,TKz5C2bBcqXjJ5cjn
oAGQyvzMGTtiBDSsu,KBgBdiS2cMeJGnKA8,oAGQyvzMGTtiBDSsu
DDAEsbN9YkWL2HgJu,Cgjwnv2ToasRXwXDb,DDAEsbN9YkWL2HgJu
sGqakM37iqf7dv5bS,4LmTsd3WkQ8qKBcKA,sGqakM37iqf7dv5bS
pNvdkitpqPDiE7cyf,GzqxDJe2DCk7vYvj3,pNvdkitpqPDiE7cyf
dRvnuP39oqZmMT5DZ,KBgBdiS2cMeJGnKA8,dRvnuP39oqZmMT5DZ
66fMB8FADywnx2wW3,GzqxDJe2DCk7vYvj3,66fMB8FADywnx2wW3
wPpeAqnhumf7wN6bL,x6gEaBuQnwHgSBNY3,wPpeAqnhumf7wN6bL
ZgpACtkcLe9fzKJmt,Kive8CqkAqMybxcbo,ZgpACtkcLe9fzKJmt
xdSwZQY7wK7jT8mFg,5ZMGpNamiynmAyKd9,xdSwZQY7wK7jT8mFg
TS4kBn2WSreCe3QBR,uk6QiqHvMX5Ls5FTj,TS4kBn2WSreCe3QBR
qS7kHnsqXgzYob8T8,kERzgv65HBDpypRrx,qS7kHnsqXgzYob8T8
ABay3YozcsF9SLCtR,uk6QiqHvMX5Ls5FTj,ABay3YozcsF9SLCtR
7GCPuv7DJNffA68A8,N5kXtazLjiBoisoMW,7GCPuv7DJNffA68A8
eaPfHWbakW2GFkJ3m,N5kXtazLjiBoisoMW,eaPfHWbakW2GFkJ3m
ZXtXxwEuqqyk4G7MJ,N5kXtazLjiBoisoMW,ZXtXxwEuqqyk4G7MJ
PjFoZ4K37TXKuLf7F,N5kXtazLjiBoisoMW,PjFoZ4K37TXKuLf7F
TGfJTebvAiEtqA6uw,N5kXtazLjiBoisoMW,TGfJTebvAiEtqA6uw
wid8GoZxZryC7KvvX,N5kXtazLjiBoisoMW,wid8GoZxZryC7KvvX
QApcWXdeLt5vqqxGL,N5kXtazLjiBoisoMW,QApcWXdeLt5vqqxGL
HjEQXa2EfNugp8idQ,N5kXtazLjiBoisoMW,HjEQXa2EfNugp8idQ
GLCDzrM7fMt4Ntbt3,N5kXtazLjiBoisoMW,GLCDzrM7fMt4Ntbt3
zMjWgGJvJ3hF8gaaT,N5kXtazLjiBoisoMW,zMjWgGJvJ3hF8gaaT
z6LJB4iotPPu6iKW6,N5kXtazLjiBoisoMW,z6LJB4iotPPu6iKW6
F38vKGKC8rrdWLLaX,N5kXtazLjiBoisoMW,F38vKGKC8rrdWLLaX
FJQoKfy7negMPN8dA,N5kXtazLjiBoisoMW,FJQoKfy7negMPN8dA
dF52ynun4CYdF7Rju,N5kXtazLjiBoisoMW,dF52ynun4CYdF7Rju
HyKftzdbG3ys6SaAC,N5kXtazLjiBoisoMW,HyKftzdbG3ys6SaAC
eip28aZw2tcCtMWi4,qnLPXbGaR2SsrRDKc,eip28aZw2tcCtMWi4
pWATQmz56sz8igdQT,qnLPXbGaR2SsrRDKc,pWATQmz56sz8igdQT
h9xQZWeGFywRMBQKi,KBgBdiS2cMeJGnKA8,h9xQZWeGFywRMBQKi
otXWmMX6vBAMDCgW7,Jvk3P8DnCT5D8uusM,otXWmMX6vBAMDCgW7
JkYocqJaXMPKTg4HR,N5kXtazLjiBoisoMW,JkYocqJaXMPKTg4HR
dmqK8i7sy8SM6LRLx,ZyRycCigWHTkN8qdh,dmqK8i7sy8SM6LRLx
zF6XkNiseaTLonSin,ZyRycCigWHTkN8qdh,zF6XkNiseaTLonSin
ZWfrMkTNJEJwibNxL,XsExfkHM5ed2GBHw5,ZWfrMkTNJEJwibNxL
Zph4F9sDYksukEGxj,DXnhPPYAxSkjd5NsM,Zph4F9sDYksukEGxj
xeCzoHfnEXRwug4hy,DXnhPPYAxSkjd5NsM,xeCzoHfnEXRwug4hy
r6bs64TZXHeef4q9Z,QPYECDXXMGjHNQczr,r6bs64TZXHeef4q9Z
sh2girWBL6L5u3n94,GsYjkZiFLuiQRzAfy,sh2girWBL6L5u3n94
ypY4AvpSscS7PmMkM,GsYjkZiFLuiQRzAfy,ypY4AvpSscS7PmMkM
hwyzdpYsZqqXg3zeg,5eKarQG9dk5xDn782,hwyzdpYsZqqXg3zeg
LMv9asjBKFTkFCmaC,ZyRycCigWHTkN8qdh,LMv9asjBKFTkFCmaC
ewqScwekzWbdRsDLx,BACoALfJCD3wLGXW4,ewqScwekzWbdRsDLx
SKTgsp7CGJkFE97eE,h3r27HQrrDxxpc6g9,SKTgsp7CGJkFE97eE
EycRuMfkWTPaCLvit,ZyRycCigWHTkN8qdh,EycRuMfkWTPaCLvit
qRez65r7rftaSp3Sv,BNLMc3u42AoZBRWXe,qRez65r7rftaSp3Sv
xXx7DunZfjHeFgg6u,t6FFXEPjQZLoX8GSM,xXx7DunZfjHeFgg6u
nHRgZQGgPHmQzS6Y2,BACoALfJCD3wLGXW4,nHRgZQGgPHmQzS6Y2
