Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,710.000000,742.299988,702.299988,739.099976,729.113403,8478638
2021-12-03,739.000000,746.500000,734.000000,737.450012,727.485718,5578503
2021-12-06,739.000000,744.500000,721.500000,723.450012,713.674866,3537411
2021-12-07,729.000000,749.950012,725.799988,744.700012,734.637817,3993342
2021-12-08,751.200012,764.400024,748.200012,761.400024,751.112122,4621331
2021-12-09,766.700012,775.799988,760.000000,769.750000,759.349304,4687479
2021-12-10,768.849976,794.950012,763.000000,767.700012,757.326965,10049545
2021-12-13,775.000000,778.799988,750.099976,758.450012,748.202026,4985928
2021-12-14,755.900024,766.000000,750.500000,763.700012,753.381042,2919015
2021-12-15,763.700012,766.650024,742.950012,745.500000,735.427002,4673906
2021-12-16,752.000000,756.450012,739.349976,745.150024,735.081726,3303620
2021-12-17,744.500000,744.500000,721.200012,723.950012,714.168152,4973404
2021-12-20,717.000000,717.000000,685.500000,701.700012,692.218811,4559002
2021-12-21,710.000000,728.000000,701.700012,725.599976,715.795837,6943546
2021-12-22,727.000000,729.900024,717.250000,722.849976,713.083008,3626585
2021-12-23,732.799988,747.500000,728.849976,731.299988,721.418823,6641505
2021-12-24,732.500000,734.900024,713.400024,722.400024,712.639160,3946754
2021-12-27,717.000000,726.400024,713.000000,723.200012,713.428284,2663285
2021-12-28,727.099976,738.900024,725.200012,729.250000,719.396484,3604123
2021-12-29,729.000000,734.200012,720.099976,722.750000,712.984375,2396416
2021-12-30,722.900024,726.000000,716.450012,724.250000,714.464111,3654532
2021-12-31,725.000000,735.000000,725.000000,730.299988,720.432312,2538092
2022-01-03,732.000000,738.650024,730.500000,736.599976,726.647217,2377227
2022-01-04,743.000000,747.000000,732.650024,739.250000,729.261414,4068551
2022-01-05,739.000000,758.799988,734.049988,754.900024,744.699951,5409002
2022-01-06,748.900024,748.900024,730.099976,739.799988,729.803955,5440633
2022-01-07,744.700012,747.700012,730.500000,736.099976,726.153931,2590751
2022-01-10,737.099976,743.000000,734.099976,738.849976,728.866760,2173107
2022-01-11,738.650024,768.900024,728.500000,765.099976,754.762085,8959781
2022-01-12,769.500000,774.900024,754.000000,763.549988,753.233032,5775798
2022-01-13,763.000000,776.000000,760.000000,772.200012,761.766174,4049411
2022-01-14,769.000000,795.000000,763.650024,780.099976,769.559448,9627761
2022-01-17,783.500000,789.400024,773.900024,779.049988,768.523621,3187871
2022-01-18,780.000000,790.000000,760.000000,762.950012,752.641235,4300929
2022-01-19,761.750000,761.750000,736.000000,744.200012,734.144531,5843870
2022-01-20,744.000000,751.700012,735.000000,738.000000,728.028320,4741333
2022-01-21,732.000000,733.650024,714.450012,723.900024,714.118835,9244367
2022-01-24,723.900024,725.250000,689.000000,702.450012,692.958618,5349759
2022-01-25,696.000000,712.849976,690.000000,711.099976,701.491699,4482325
2022-01-27,699.799988,712.299988,691.000000,709.099976,699.518799,4749083
2022-01-28,713.000000,732.799988,707.500000,710.150024,700.554626,3543413
2022-01-31,719.700012,723.900024,714.549988,716.299988,706.621460,2152066
2022-02-01,721.000000,744.299988,720.650024,738.750000,728.768188,6052108
2022-02-02,723.900024,746.849976,721.500000,745.200012,735.131042,6167378
2022-02-03,744.049988,745.000000,729.400024,732.500000,722.602600,2689612
2022-02-04,735.000000,741.150024,724.000000,726.950012,717.127625,2453595
